파일/시트	ID 범위	주제	역할	운영 방식
01_camera_all_source_separated	L01–R04	카메라 전체 모듈	전체 기준본. GPT Image 2 원본과 Gemini/Nano Banana 2 값을 분리 보존	마스터 참조용(평소 로드 금지 — 분할본 사용)
01a_camera_lens_focal_length	L01–L16	렌즈 화각/초점거리	시야각, 왜곡, 압축감, 공간감 제어	독립 TSV + XLSX 시트
01b_camera_shot_size	S01–S10	샷 크기	피사체가 프레임 안에서 차지하는 크기 제어	독립 TSV + XLSX 시트
01c_camera_height_tilt	H01–H06	카메라 높이/기울기	위/아래 시선, 수평 기울기, 권력감/불안감 제어	독립 TSV + XLSX 시트
01d_camera_orientation	O01–O04	카메라 방향	정면, 3/4, 측면, 후면 등 피사체를 보는 방향 제어	독립 TSV + XLSX 시트
01e_camera_relationship_pov	R01–R04	관계/시점(이미지)	OTS, POV, 투샷, 그룹샷 등 관계성과 주관 시점 제어	독립 TSV + XLSX 시트
02_style_modules	STYLE01–24	화풍/스타일	포토리얼·필름·애니·회화·장르 + 노뮤트 브랜드 화풍 포인터(23·24)	리서치 채움(260611) — 실사용 검증 누적 중
03_lighting_modules	LIGHT01–19	조명	자연광·스튜디오·무드·색온도. 조명 모듈은 샷당 1개 원칙	리서치 채움(260611) — LIGHT12·19 실증
04_environment_modules_template	ENVxx	배경/환경	도시, 실내, 자연, 미래 도시 등 장소/세계관 변수	템플릿 유지(커지면 독립 파일)
05_negative_control	NEG00–11	실패 방지/네거티브	하우스 Avoid 테일(NEG00 정본)·identity lock 짝·모순 금지	실증 중심 채움(260611) — 영상(Kling) 우선
06_camera_movement_video	M01–M24	카메라 무브먼트(영상)	무브 1개/샷 원칙. 한국어 워딩 예 병기. 오빗 ≤30°/5s 등 Kling 실측 한계 내장	신설(260611) — 리서치+실증
07_pov_video	V01–V12	시점(영상)	1인칭·브이로그·바디캠·CCTV·드론 등 영상 시점. CCTV 정석 레시피 포함	신설(260611) — 리서치
